,Sample,value,Condition,Replicate
0,no CAT,0.0198,Dark,1
1,CAT_wt,0.899700018,Dark,1
2,CAT_K136_LOV,0.74095002,Dark,1
3,CAT_K136_GPG_LOV2,0.398049997,Dark,1
4,no CAT,0.011799999,Dark,2
5,CAT_wt,0.888449986,Dark,2
6,CAT_K136_LOV,0.54700001,Dark,2
7,CAT_K136_GPG_LOV2,0.24405,Dark,2
8,no CAT,0.009049999,Dark,3
9,CAT_wt,0.902800011,Dark,3
10,CAT_K136_LOV,0.362550007,Dark,3
11,CAT_K136_GPG_LOV2,0.20574999,Dark,3
12,no CAT,0.010550003,Light,1
13,CAT_wt,0.733850012,Light,1
14,CAT_K136_LOV,0.059000002,Light,1
15,CAT_K136_GPG_LOV2,0.01175,Light,1
16,no CAT,0.008400001,Light,2
17,CAT_wt,0.680799995,Light,2
18,CAT_K136_LOV,0.068849996,Light,2
19,CAT_K136_GPG_LOV2,0.013300002,Light,2
20,no CAT,0.00815,Light,3
21,CAT_wt,0.672749998,Light,3
22,CAT_K136_LOV,0.013699999,Light,3
23,CAT_K136_GPG_LOV2,0.011699999,Light,3
