,rep,name ,sel,type,val
0,1,K487,True,333 μM Cor,0.248953
1,2,K487,False,333 μM Cor,0.469756
4,3,K487,True,333 μM Cor,0.179881
5,1,N1153,True,333 μM Cor,0.281056223
6,2,N1153,False,333 μM Cor,0.432575565
9,3,N1153,True,333 μM Cor,0.306697058
10,1,NEG,True,333 μM Cor,3.270151454
11,2,NEG,False,333 μM Cor,3.589582113
14,3,NEG,True,333 μM Cor,2.804763431
15,1,POS,True,333 μM Cor,0.265472238
16,2,POS,False,333 μM Cor,0.464615867
19,3,POS,True,333 μM Cor,0.393170513
20,1,K487,True,0.6% DMSO,1.03790719
21,2,K487,False,0.6% DMSO,2.331495929
24,3,K487,True,0.6% DMSO,1.28676289
25,1,N1153,True,0.6% DMSO,1.610533919
26,2,N1153,False,0.6% DMSO,2.02698876
29,3,N1153,True,0.6% DMSO,1.915722191
30,1,NEG,True,0.6% DMSO,3.405078685
31,2,NEG,False,0.6% DMSO,3.245387108
34,3,NEG,True,0.6% DMSO,2.13849516
35,1,POS,True,0.6% DMSO,0.151639443
36,2,POS,False,0.6% DMSO,0.381672734
39,3,POS,True,0.6% DMSO,0.277618425
